LWR	fract	aLWR	afract	taxopath
0.8231	0.7566	1.088	1	Vampyrellida
0.2595	0.2385	0.2595	0.2385	Vampyrellida;Arachnulidae
0.005282	0.004855	0.005282	0.004855	Vampyrellida;Placopodidae
