LWR	fract	aLWR	afract	taxopath
0.9996	0.9996	1	1	Vampyrellida
0	0	0.0003983	0.0003983	Vampyrellida;Sericomyxidae
0.0003983	0.0003983	0.0003983	0.0003983	Vampyrellida;Sericomyxidae;Sericomyxidae_X
