LWR	fract	aLWR	afract	taxopath
0	0	2	1	Vampyrellida
1.403	0.7018	2	1	Vampyrellida;Leptophryidae
0	0	0.5962	0.2982	Vampyrellida;Leptophryidae;Leptophryidae_X
0.5962	0.2982	0.5962	0.2982	Vampyrellida;Leptophryidae;Leptophryidae_X;Leptophryidae_XX
