LWR	fract	aLWR	afract	taxopath
0	0	1	1	Vampyrellida
0	0	1	1	Vampyrellida;Leptophryidae
0.2421	0.2421	1	1	Vampyrellida;Leptophryidae;Leptophryidae_X
0.7579	0.7579	0.7579	0.7579	Vampyrellida;Leptophryidae;Leptophryidae_X;Leptophryidae_X_strain_VI01
